time,open,high,low,close,MA,Smoothing Line,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1598967000,132.76,134.8,130.53,134.18,118.50178571428569,116.05878571428578,81.8870060439627,75.70261657584332,NaN,NaN
1599053400,137.59,137.98,127,131.4,119.5367857142857,117.28111904761911,74.63175814641863,75.91505484741444,NaN,NaN
1599139800,126.91,128.84,120.5,120.88,120.05190476190472,118.32104761904768,54.833102240272986,74.73172626180666,NaN,NaN
1599226200,120.07,123.7,110.89,120.96,120.38797619047617,119.15564285714292,54.93101712627318,73.61260181086921,NaN,NaN
1599571800,113.95,118.99,112.68,112.82,120.46928571428569,119.78954761904768,44.38705391293314,71.66256549428309,NaN,NaN
1599658200,117.26,119.14,115.26,117.32,120.68797619047616,120.22678571428578,50.090557892834205,70.10775036461857,NaN,NaN
1599744600,120.36,120.5,112.5,113.49,120.88392857142853,120.49621428571436,45.7865350359609,68.03854840726449,NaN,NaN
1599831000,114.57,115.23,110,112,120.8358333333333,120.65300000000006,44.19553823854052,65.47998240414353,NaN,NaN
1600090200,114.72,115.93,112.8,115.355,120.85226190476186,120.7458571428572,48.532223208607256,63.157065026509066,NaN,NaN
1600176600,118.33,118.829,113.61,115.54,120.88238095238091,120.82847619047625,48.76864563792287,61.06733681991724,NaN,NaN
1600263000,115.23,116,112.04,112.13,120.76440476190473,120.84376190476196,44.69331225152541,58.589124499928275,NaN,NaN
1600349400,109.72,112.2,108.71,110.34,120.51571428571424,120.77011904761912,42.67725766075163,56.285539635204756,NaN,NaN
1600435800,110.4,110.88,106.09,106.84,120.09345238095231,120.62164285714292,38.97516406113548,53.760530857366305,NaN,NaN
1600695000,104.54,110.19,103.1,110.08,119.70321428571424,120.3918333333334,43.83249477315258,51.30154758787794,NaN,NaN
1600781400,112.68,112.86,109.16,111.81,119.105119047619,120.036380952381,46.290744294568185,48.75895746292118,NaN,NaN
1600867800,111.62,112.11,106.77,107.12,118.21285714285709,119.52607142857146,41.046013133959505,46.35997567631697,NaN,NaN
1600954200,105.17,110.25,105,108.22,117.4221428571428,118.90735714285718,42.68619804542823,45.49233966239949,NaN,NaN
1601040600,108.43,112.44,107.67,112.28,116.7439285714285,118.23745238095242,48.39315945060275,45.025349828423025,NaN,NaN
1601299800,115.01,115.32,112.78,114.96,116.26535714285708,117.54988095238097,51.804650929277344,45.55517818673332,NaN,NaN
1601386200,114.55,115.31,113.57,114.09,115.75499999999994,116.87985714285716,50.634471544453646,45.594029161849,NaN,NaN
1601472600,113.79,117.26,113.62,115.81,115.12499999999996,116.26228571428574,52.899646421117055,46.10210854650301,NaN,NaN
1601559000,117.64,117.72,115.83,116.79,114.2969047619047,115.63723809523813,54.189456314738706,46.815959837660024,NaN,NaN
1601645400,112.89,115.37,112.22,113.02,113.42166666666662,114.97278571428576,48.66809872785052,46.825665231891676,NaN,NaN
1601904600,113.91,116.65,113.55,116.5,113.21309523809519,114.36233333333337,53.38916938647058,47.15570264250224,NaN,NaN
1601991000,115.7,116.12,112.25,113.16,112.84166666666663,113.77966666666671,48.75449021565006,47.44578678279685,NaN,NaN
