time,open,high,low,close,MA,Smoothing Line,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1272461400,119.05,119.67999,118.27,119.38,119.59452333333317,119.32493761904752,52.73753238519501,66.67805100704679,NaN,NaN
1272547800,120.10001,121.11,120.07001,120.8575,119.7591666666665,119.48768066666658,58.785616002998985,65.74797213404443,NaN,NaN
1272634200,120.88,121.00999,118.78,118.8125,119.84547619047602,119.6203284761904,49.36879296139449,64.09396132351846,NaN,NaN
1272893400,119.38,120.67999,119.2,120.35001,119.96690523809507,119.73249999999989,55.18175518477272,62.82998991933527,NaN,NaN
1272979800,119.00999,119.03,116.92,117.52,119.90785809523794,119.81478590476179,44.951660313634534,60.500713669332626,NaN,NaN
1273066200,116.56,117.8,115.97,116.82001,119.8021447619046,119.85631019047608,42.83629861068408,57.998719439354716,NaN,NaN
1273152600,116.25999,117,105,112.942,119.54414476190462,119.8133058095237,33.44590790926709,56.043990697370816,NaN,NaN
1273239000,112.64,113.77,109.41,111.25999,119.18640571428557,119.68149171428561,30.33933134261433,53.721462770046394,NaN,NaN
1273498200,115.81,116.64999,114.91,116.16,119.02497714285698,119.493106095238,46.05809624292593,52.209272304709366,NaN,NaN
1273584600,115.07001,117.36,114.91,115.83,118.83878619047606,119.27929171428563,45.31646425429895,50.766133822311566,NaN,NaN
1273671000,116.28999,117.62,116.09,117.45,118.72545285714271,119.06395333333326,49.60633469518427,49.52385503867434,NaN,NaN
1273757400,117.13,117.67999,115.89,115.99001,118.47783428571414,118.85069123809515,46.09658690665546,47.81344693968815,NaN,NaN
1273843800,115.12,115.33,112.87,113.89,118.12545380952368,118.63850085714277,41.54357485283034,46.05195786378322,NaN,NaN
1274103000,114.2,114.52,111.77,113.95,117.8678347619046,118.40707238095229,41.72069134073752,45.570617357371,NaN,NaN
1274189400,114.88,115.22,112.03,112.39999,117.514977142857,118.1423105714285,38.477300629807026,44.552029374843286,NaN,NaN
