time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1239024600,83.34,84.2747,82.28999,83.60001,59.28771430269145,56.83461970899556,NaN,NaN
1239111000,82.25,82.64999,81.50999,81.64999,54.30747998523691,56.560626978024,NaN,NaN
1239197400,82.06,82.94,81.53999,82.53,56.09967803138247,56.605799077998554,NaN,NaN
1239283800,84.67,85.82001,84.33,85.81,62.07115101837671,57.4754296886745,NaN,NaN
1239629400,84.92,86.53999,84.58,85.83,62.10499929187351,57.592729041247985,NaN,NaN
1239715800,85.03,85.75999,84.08,84.35001,57.981465882396655,57.68582079507631,NaN,NaN
1239802200,83.84,85.42,83.61,85.25,59.73237095884096,57.79827001722109,NaN,NaN
1239888600,85.92999,87.14999,84.77,86.5,62.09489594454457,57.87913649553627,NaN,NaN
1239975000,86.83,87.64999,86.14,87.08,63.174517292085916,58.30376399734382,NaN,NaN
1240234200,85.53999,87.0489,83.34,83.42999,52.9530055975903,58.44918066295195,NaN,NaN
1240320600,82.82001,85.13,82.75,85.06,56.349590086023376,58.73261938991823,NaN,NaN
1240407000,84.28999,86.34,84.07001,84.53999,54.985739733701195,58.70274739665571,NaN,NaN
1240493400,84.71001,85.42,83.63,85.37,56.78369906068049,58.49810085066307,NaN,NaN
1240579800,86.03,87.31,85.69,86.66,59.491793640467655,58.38700720184943,NaN,NaN
1240839000,85.67999,87.00999,85.53999,85.84,57.04475524679115,58.22679584071369,NaN,NaN
1240925400,84.97,86.59,84.75999,85.57001,56.22472556057818,58.36374195323806,NaN,NaN
1241011800,86.52,88.36,86.3,87.39,60.36128636111067,58.668142548218654,NaN,NaN
1241098200,88.55,89.02,86.92,87.42,60.4276666487301,58.55075080752961,NaN,NaN
1241184600,87.44,88.21001,86.72,87.89,61.51502348691839,58.50860967860425,NaN,NaN
1241443800,88.55,90.94,88.38,90.88,67.61209515041392,59.19651176917692,NaN,NaN
1241530200,90.57001,90.92999,89.84,90.57001,66.43692493527095,59.675408481779066,NaN,NaN
1241616600,91.67999,92.2,90.61,92.14101,69.34490993774345,60.19326662415041,NaN,NaN
1241703000,93.00999,93.14999,90.28,90.86,64.44193147808588,60.2837962088647,NaN,NaN
1241789400,92.03,93.22,90.911,92.98,68.42124717495096,61.388670607247604,NaN,NaN
1242048600,91.7,92.11,91.03999,91.24001,62.26250018104662,61.81102132832069,NaN,NaN
1242135000,91.63,91.83,89.85001,90.97,61.33979810199139,62.26488264034141,NaN,NaN
1242221400,89.74001,90.00999,88.5,88.67999,54.02693435665473,62.06797087576815,NaN,NaN
1242307800,88.72,90.12,88.5,89.44,55.90578959831318,61.81182772989997,NaN,NaN
1242394200,89.37,90,88.14999,88.71001,53.638290758832724,61.56850883790293,NaN,NaN
1242653400,89.55,91.34,88.57021,91.23,59.71295515438673,61.81766809460355,NaN,NaN
1242739800,91.17999,91.97,90.81,91.12,59.34740820893056,61.74524822659068,NaN,NaN
1242826200,91.95,92.8,90.41,90.50999,57.254207119540624,61.5185725459343,NaN,NaN
1242912600,89.46001,89.8,88.25999,89.21001,52.96677620637332,60.90798345446679,NaN,NaN
1242999000,89.46001,90,88.67999,89.02,52.34971460889805,59.817813415787086,NaN,NaN
1243344600,88.36,91.56,88.32001,91.3,58.584617923477815,59.25693434351615,NaN,NaN
1243431000,91.44,91.75,89.53,89.67,53.222942281436445,58.10536522520851,NaN,NaN
1243517400,90.46001,91.34,89.10001,90.92,56.51004296175521,57.53880175975632,NaN,NaN
1243603800,91.42,93.7,90.67999,92.53,60.37261073362283,56.96389915680431,NaN,NaN
1243863000,93.67,95.17,93.42999,94.77,65.02666088214781,57.16133920688294,NaN,NaN
1243949400,94.39999,95.37,87.53,94.85001,65.18394904587859,57.4359214171606,NaN,NaN
1244035800,94.03999,94.13,92.75999,93.64999,60.7695284742782,57.91753528270514,NaN,NaN
1244122200,94,94.67,93.3,94.53,62.761177401842005,58.407205840100055,NaN,NaN
1244208600,95.49001,95.67,93.8,94.55,62.80739133915567,59.06214159583741,NaN,NaN
1244467800,93.84,95.10001,93.03999,94.16,61.21212292567101,59.169225008072,NaN,NaN
1244554200,94.69,95.145,94.02,94.64,62.47540501192602,59.3926533511431,NaN,NaN
1244640600,95.48,95.49001,93.19,94.39999,61.398603629791154,59.688681673303854,NaN,NaN
1244727000,94.58,96.11,94.56,94.82001,62.613032496126415,60.37769997971479,NaN,NaN
1244813400,94.39999,95.14,94,95.08,63.381007032047805,61.1656494385112,NaN,NaN
